Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Afghanistan,AFG,5300,3409,21696,25920,23532,22770,24207,10454,7334,4635.714,2865.737,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Albania,ALB,..,3885,11196,1992,..,306,1904,2935,2558,1274,1471,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Algeria,DZA,44100,40202,55516,60066,65940,73465,74714,77463,76049,18719,27650,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,American Samoa,ASM,..,..,8580,9144,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Angola,AGO,6900,4399,14496,13716,13116,15482,13494,13978,13647,3792,3805,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Antigua and Barbuda,ATG,58000,62070,52572,46404,40047,40928,24019,23206.966273393,21930.5831283564,64,2105,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Argentina,ARG,114000,168815,145136.020724733,134521,145585,149334,146631,161862,163106,27447,54218,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Armenia,ARM,..,4406,852,0,..,..,..,814,2133,705,1598,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Aruba,ABW,..,..,..,..,..,..,2132,2276,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Australia,AUS,255900,382514,641451,664970,668961,682937,672349,665384,684170,310837,383008,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Austria,AUT,42000,138700,166251,162576,152056,149030,156761,130260,330226,121668,161093,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Azerbaijan,AZE,..,8012,15886,21910,23781,24009,20699,19960,28974,11648,15844,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Bahamas, The",BHS,18900,31416,34188,53366,48535,49095,48017,54000,47733,31284.792,27092.684,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bahrain,BHR,10900,21303,52452,55980,57444,55592,54474,57094,57321,17591,29475,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bangladesh,BGD,13000,6313,59064,65364,55864,59728,70503,53061,68351,42827.89,50991,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Barbados,BRB,700,..,..,..,..,..,..,..,..,..,..,..
